,Unnamed: 0,Unnamed: 0.1,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7,Fr_H2,Fr_N2,Fp_H2,Fp_N2,S_H/N,Ff_opt,Pf_opt,L_opt,Nf_opt,ReH2_opt
10,1445,1445,FOHQUO_clean,9.66E-09,7.58E-09,6,2,3.895354043,0.00363094,1593.134326,1.33E-09,2.92E-12,293863.9354,644.8099946,0.715160184,0.999145488,0.439195995,0.174926554,0.086682927,7.41E-05,455.7372526,0.173929652,29.87016407,0.389275848,70.06990915,-43.80866661
11,1714,1714,GUPJEG_clean,2.99E-08,3.69E-09,6,2,4.167452971,0.018625072,1535.934696,4.25E-09,7.04E-12,938176.3471,1552.344705,0.60666725,0.999190749,0.269595921,0.174792532,0.258209952,0.000209126,604.360838,0.099489633,29.68301185,0.160614512,55.37006607,-71.48803896
12,1715,1715,GUPJEG01_clean,2.98E-08,3.67E-09,6,2,4.114919671,0.01403158,1550.911255,4.23E-09,5.32E-12,932254.323,1174.493658,0.607857532,0.999385065,0.271023425,0.174843264,0.256764709,0.000157991,793.7499848,0.289623438,29.72033211,0.444425319,79.88269241,-86.82784484
13,1812,1812,HIBGIJ_clean,6.34E-09,1.54E-09,6,2,4.316188535,0.015520132,1659.380057,1.01E-09,2.64E-12,222589.8534,583.2477674,0.724310837,0.999002066,0.459601119,0.174934629,0.066064638,6.60E-05,381.6385863,0.574703013,29.95434179,0.446417805,99.049531,-17.21251849
14,2187,2187,IQEWOQ_clean,1.20E-08,1.70E-09,6,2,5.073998881,0.021244378,1588.115734,2.15E-09,3.82E-12,474005.7328,843.463274,0.689793954,0.99926524,0.388918347,0.174899798,0.137499335,0.000101103,561.9755446,0.790751108,29.93254776,0.943577987,131.0560039,-65.84064995
15,2236,2236,IWOSAP_clean,1.51E-08,6.11E-09,6,2,3.359970872,0.005729024,2247.855828,2.53E-09,5.25E-12,559050.1206,1157.127972,0.676627381,0.999120484,0.365877775,0.17485969,0.160794267,0.000141546,483.1359486,0.930313294,29.70566532,0.834931764,109.8129288,-50.7882061
16,2447,2447,JIXWUJ_clean,1.09E-08,1.97E-09,6,2,4.550516975,0.019058466,1631.975494,1.80E-09,4.08E-12,396799.1218,901.0707419,0.701096625,0.999086173,0.41022696,0.174894898,0.115959828,0.000106064,440.3640063,0.375136364,29.84144194,0.659404326,59.0471299,-39.54004592
17,2448,2448,JIXWUJ01_clean,9.67E-09,1.98E-09,6,2,4.514295351,0.018175479,1639.256963,1.59E-09,3.93E-12,350778.7801,867.5393442,0.707525877,0.999019522,0.423101355,0.174899889,0.102947799,0.000101037,404.3376044,0.946030797,27.02798332,0.46383343,145.6670982,-27.52130904
18,3180,3180,MOPQIT_clean,1.07E-08,1.50E-09,6,2,6.699889534,0.037941195,1336.882138,2.13E-09,5.07E-12,469801.472,1118.88763,0.690462528,0.999018358,0.390063489,0.174867225,0.13634164,0.00013397,419.8826222,0.402845757,29.87875955,0.539746254,53.0249003,-32.55696562
19,3227,3227,MURCOR_clean,3.67E-08,1.37E-08,6,2,5.788698465,0.005906006,1584.366186,7.48E-09,8.55E-12,1649956.101,1885.21594,0.419428461,0.999228994,0.126203508,0.174690494,0.40373091,0.000311519,875.2080149,0.697184172,29.99648951,0.620184006,83.05115328,-90.39887384
20,3346,3346,NICJUG_clean,4.55E-09,2.32E-09,6,2,2.591436743,0.000826641,1725.425986,4.52E-10,2.21E-13,99728.24487,48.66226825,0.738968852,0.99982068,0.495403043,0.17499469,0.029895225,5.36E-06,2049.395732,0.053611784,28.78218397,0.960787637,129.5054954,-100.952291
21,3368,3368,NIJZOV_clean,4.21E-08,1.59E-08,6,2,7.26741725,0.006291577,1540.603974,1.05E-08,1.03E-11,2310590.788,2266.411377,0.220961672,0.999055846,0.049507311,0.174546528,0.482402629,0.000455893,1019.493112,0.844038848,29.02257172,0.442111734,117.4388396,-94.37862053
22,3433,3433,NORGOS_clean,1.53E-09,8.64E-10,6,2,2.809886403,0.001871112,1728.89904,1.65E-10,1.86E-13,36435.07428,41.1030687,0.746062501,0.999593096,0.514132955,0.174995576,0.010976018,4.47E-06,886.431973,0.05,30,1,149.1363387,-85.45319008
23,3982,3982,QASSUZ_clean,6.90E-08,1.47E-08,6,2,2.454394135,0.00521,1223.172226,4.60E-09,6.25E-12,1015431.985,1377.633695,0.589895525,0.999315318,0.251450066,0.174811968,0.276586825,0.000189504,737.0841671,0.188949664,28.90820747,0.209662918,96.44745884,-83.41329999
24,4084,4084,QOWLEU_clean_h,1.98E-08,4.99E-09,6,2,5.590523935,0.005051092,1413.32483,3.48E-09,2.37E-12,766883.7282,523.8644173,0.640546944,0.999686951,0.311731485,0.174933057,0.215562053,6.75E-05,1463.897342,0.189640839,29.82033953,0.790314472,55.71486585,-99.32702037
25,4176,4176,RAVVIU_clean,3.77E-09,8.99E-10,6,2,4.15921783,0.013753562,1866.554392,6.50E-10,1.54E-12,143470.793,339.395921,0.733909709,0.999120165,0.482568395,0.174962619,0.042860719,3.77E-05,422.7239756,0.194983475,29.5920094,0.512667162,92.52706778,-33.46597235
26,4177,4177,RAVVIU01_clean,4.00E-09,9.41E-10,6,2,4.17221775,0.013688298,1860.492542,6.90E-10,1.60E-12,152203.5296,352.4180108,0.732875241,0.99913656,0.4800179,0.17496111,0.045437333,3.93E-05,431.8835158,0.254403161,29.97156904,0.504500463,125.1518228,-36.62863502
