,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
104,AKOBAF_clean,2.98e-08,4.71e-09,6,2,2.775372155,0.367440726,1150.591061
105,AKOXIJ_clean,1.13e-08,2.92e-09,6,2,9.127076255,1.282413995,1427.60356
106,AKUKUO_clean,3.49e-08,7.75e-09,6,2,2.891449271,0.25607501,1304.762463
107,ALAMUW_clean,1.15e-07,6.6e-09,6,2,9.575004506,1.662784453,649.9666963
108,ALANAD_clean,1.18e-07,1.09e-08,6,2,11.09315904,1.108366764,697.3217445
109,ALEJEI_clean,1.27e-07,7.74e-09,6,2,9.824873504,1.946478959,600.7783235
110,ALEJIM_clean,1.23e-07,7.54e-09,6,2,9.505512781,1.84770084,592.1070919
111,ALICAA_clean,4.72e-09,2.14e-09,6,2,2.573432562,0.211858108,1432.285677
112,ALIXAU_clean_h,1.86e-08,8.95e-10,6,2,3.700247032,0.293250636,1432.607161
113,ALIXOJ_clean,3.88e-08,6.14e-09,6,2,12.81008764,0.778783143,979.8315751
114,ALIXUP_clean,1.43e-08,2.03e-09,6,2,6.941982338,0.110938949,1338.646285
115,ALOLES_ion_b,1.08e-08,1.67e-09,6,2,2.511194335,0.007160304,2208.182101
116,ALOLIY_clean,5.81e-08,1.99e-08,6,2,5.061942965,0.015352969,1191.684795
117,ALONEV_clean,2.61e-08,5.51e-09,6,2,2.642008808,0.05102269,1491.548731
118,ALUJIB_clean,4.46e-08,1.05e-08,6,2,7.547307582,0.272568064,1432.399275
119,ALUKIC_clean,1.37e-07,2.99e-08,6,2,6.745728809,0.663516623,566.9142251
120,ALULEZ_clean,1.48e-07,1.85e-08,6,2,4.957663238,1.095595022,425.9413841
121,ALULID_clean,6.47e-08,8.95e-09,6,2,7.446806292,0.605789844,929.5431522
122,ALURAB_clean,2.17e-08,6.95e-09,6,2,5.133480985,0.12224676,1051.80411
123,ALUREF_clean,2.25e-08,6.64e-09,6,2,5.146550037,0.122980007,1054.132453
124,ALURIJ_clean,2.01e-08,6.3e-09,6,2,5.23786344,0.120001915,1077.514111
125,am301365h_si_002_clean,1.22e-08,7.36e-09,6,2,1.219822673,0.293371599,907.0711787
126,AMAFOK_clean,3.97e-08,6.43e-09,6,2,4.704547361,0.11246669,1492.475702
127,AMAGAX_clean,4.93e-08,8.82e-09,6,2,4.997457703,0.107662555,1459.147628
128,AMILOY_clean,4.24e-08,8.17e-09,6,2,5.287426584,0.425542676,1007.506389
129,AMILUE_clean,4.34e-08,1.05e-08,6,2,4.604252597,0.414653133,982.4070303
130,AMIMAL_clean,3.93e-08,9.47e-09,6,2,4.665489335,0.413279838,988.9688002
131,AMIMEP_clean,3.76e-08,7.21e-09,6,2,4.510018056,0.401399795,986.0237144
132,AMIXEA_clean,1.14e-08,1.95e-09,6,2,4.381798974,0.168378362,2317.471908
133,AMIZIG_clean,2.74e-08,7.06e-09,6,2,3.665936781,0.036885948,1403.99706
134,AMOYOR_clean,3.4e-08,3.44e-09,6,2,3.08618459,0.488095958,1169.744666
135,AMUFOF_clean,2.35e-08,6.04e-09,6,2,6.468030191,0.146857877,1344.609711
136,AMUPOP_clean,1.43e-08,5.02e-09,6,2,2.972157235,0.318501876,1302.870352
137,AMUWUB_clean,8.19e-08,1.56e-08,6,2,3.836643408,0.128014488,914.1439033
138,AMUXAI_clean,4.97e-08,1.17e-08,6,2,3.456441894,0.083463143,1024.412487
139,ANEHEI_clean,1.97e-08,5.97e-09,6,2,4.437019644,0.212169069,1240.026408
140,ANIDIL_clean,6.85e-09,2.5e-09,6,2,3.428764409,0.063608326,1499.799669
141,ANOMOG_clean,8.34e-08,5.95e-09,6,2,11.79354737,1.606207784,784.5542734
142,ANOMUM_clean,8.44e-08,8.43e-09,6,2,12.56257094,1.215401099,833.7244247
143,ANONAT_manual,9.95e-08,1.12e-08,6,2,11.52883947,1.044945177,800.8178251
144,ANUGEW_clean,1.38e-07,2.75e-08,6,2,7.134778471,0.829315965,443.4651423
145,ANUGIA_clean,1.03e-07,1.19e-08,6,2,9.764115324,1.469221972,567.9679041
146,ANUGOG_clean,1.22e-07,1.97e-08,6,2,10.31442327,1.297558303,584.6651773
147,APACAX_clean,2.21e-08,1.89e-09,6,2,16.42305423,2.130281741,1007.31493
148,APARAM_clean,1.82e-08,4.12e-09,6,2,2.485092374,0.260082507,965.4490386
149,APEBED_clean,3.42e-09,7.02e-10,6,2,5.712153872,0.652007345,1652.041785
150,APEBEE_clean,3.36e-08,8.44e-09,6,2,4.790700625,1.336620432,1310.394503
151,APEBII_clean,1.92e-08,7.73e-10,6,2,12.94969035,1.994579134,1223.418792
152,APEBUU_clean,1.88e-08,3.67e-09,6,2,2.814210199,0.274680976,1495.794767
153,APUPEH_clean,2.42e-07,2.16e-08,6,2,5.504387152,2.003179413,298.2127336
154,AQEGUY_clean,7.55e-09,9.49e-10,6,2,8.410440998,1.083702482,1463.54368
