Index,Adsorbent,N_0.75,N_2,H_0.25,H_6,N_wc,H_wc,N_sw,N_3p,H_3p,N_3p_sim,H_3p_sim,N2 Isotherm,N2 Opt method,qm_N2,b_N2,Error_N2,H2 Isotherm,H2 Opt method,qm_H2,b_H2,Error_H2,N_4p,H_4p,N_4p_sim,H_4p_sim,N2 Isotherm_2,N2 Opt method_2,par_N2_2,Error_N2_2,H2 Isotherm_2,H2 Opt method_2,par_H2_2,Error_H2_2,N_5p,H_5p,N_5p_sim,H_5p_sim,N2 Isotherm_3,N2 Opt method_3,par_N2_3,Error_N2_3,H2 Isotherm_3,H2 Opt method_3,par_H2_3,Error_H2_3,x_N2,x_H2,Recovery
3641,OQIZUL_clean,0.758992824,1.767662777,1.117397796,13.29386929,1.008669953,12.17647149,0.082837623,8,10.0,4.327749402,16.99674649,Lang,COBYLA,8.426456932,0.132085111,0.113445968,Lang,BFGS,26.74062846,0.174435061,1.385065169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036939307987306255,0.9630606920126937,-7.690477655434494
3642,OQOJUB_clean,0.873515943,1.423708565,1.835717106,5.079165285,0.550192622,3.243448179,0.169632006,8,3.0,2.180669524,4.59439929,Lang,SLSQP,2.580071165,0.682477101,2.888721834,Lang,SLSQP,5.501813894,2.002910362,2.179143805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021500000000000005,0.9785,-14.170542635658911
3644,OQUFAJ_clean,0.636017837,1.408035794,1.141543662,8.934276322,0.772017957,7.79273266,0.099068965,8,10.0,3.159693214,10.68458351,Lang,SLSQP,5.359701442,0.179521921,0.181558036,Lang,SLSQP,13.59973445,0.366518422,2.506859041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028285444271862456,0.9717145557281376,-10.451290946544912
3645,OQUFAJ01_clean,0.693140237,1.508470407,1.333191651,9.171921014,0.81533017,7.838729363,0.104013053,8,10.0,3.306494018,10.79384365,Lang,SLSQP,5.420820987,0.195481976,0.335405824,Lang,SLSQP,13.1947088,0.449582542,2.772033226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025700898716631688,0.9742991012833683,-11.636381734164484
3646,OQUFAJ02_clean,1.06453771,1.676606106,2.180113432,7.77516487,0.612068396,5.595051438,0.109394597,8,10.0,2.790424098,8.976965119,Freu,COBYLA,1.196845483,0.40718839,2.993076522,Freu,COBYLA,3.710805528,0.383760302,3.35161684,NaN,4.5,NaN,7.175196829,NaN,NaN,NaN,NaN,Sips,COBYLA,[17.09057609  0.31255679  0.54879782],0.432407342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1888055814056986,0.8111944185943014,-0.43215119764077325
3647,OQUFAJ03_clean,0.654003011,1.438602949,1.218026553,8.911446749,0.784599938,7.693420196,0.101983243,8,10.0,3.208074484,10.58596441,Lang,SLSQP,5.382672092,0.184401497,0.263928886,Lang,BFGS,13.18642089,0.407080999,2.739353184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02755746454140771,0.9724425354585923,-10.762602881425043
3648,OQUFAJ04_clean,0.708611979,1.509958622,1.334520212,9.042849936,0.801346643,7.708329724,0.103958532,8,10.0,3.204324864,10.62180932,Lang,CG,5.040959221,0.218084028,0.485670607,Lang,SLSQP,12.92887437,0.460402841,2.795607406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023187500000000007,0.9768125,-13.042228212039527
3649,OQUFIR_clean,1.155188445,1.707228243,2.803510469,8.759970871,0.552039798,5.956460402,0.092679169,8,3.0,2.597163506,7.135541514,Freu,COBYLA,1.274772801,0.342341398,3.645828317,Freu,COBYLA,4.608266274,0.358597809,2.929360203,12.0,NaN,2.862055909,NaN,Sips,COBYLA,[4.80405279 0.37148982 0.5546903 ],0.330344682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035281265851671045,0.964718734148329,-8.114551409088557
3650,OQUFOX_clean,0.709021604,1.29391697,1.598933508,7.768965719,0.584895366,6.170032211,0.094796161,8,10.0,2.630312492,9.241328724,Freu,COBYLA,0.831496866,0.553914834,2.200520263,Freu,COBYLA,3.091441873,0.475675145,3.924345545,NaN,15.0,NaN,10.57213856,NaN,NaN,NaN,NaN,Sips,COBYLA,[22.04622915  0.18025454  0.60255122],0.704632158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08260069755051408,0.917399302449486,-2.7021450974569743
3651,OQUFUD_clean,0.968522514,1.776681241,2.331162295,8.697023804,0.808158727,6.365861509,0.126951981,8,10.0,3.265849055,10.13287947,Lang,BFGS,4.327796804,0.384417342,2.624265603,Freu,COBYLA,4.049417491,0.398441038,3.169390357,NaN,4.5,NaN,8.023891154,NaN,NaN,NaN,NaN,Sips,Powell,[20.72890232  0.2708206   0.54790829],0.711386496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0036250000000000015,0.996375,-90.62068965517237
